customer_id,first_name,last_name,country,currency,age,gender,registration_date,is_premium,email_verified,email
CUST00001,Laura,Brown,UK,GBP,21,F,12-10-2020,FALSE,TRUE,laura.brown0001@email.com
CUST00002,Claire,Brown,Australia,AUD,47,M,13-07-2020,TRUE,TRUE,claire.brown0002@email.com
CUST00003,Thomas,Allen,Canada,CAD,68,M,04-06-2020,FALSE,TRUE,thomas.allen0003@email.com
CUST00004,William,Jackson,France,EUR,59,M,12-12-2020,FALSE,FALSE,william.jackson0004@email.com
CUST00005,Nina,Mueller,USA,USD,56,F,24-10-2021,FALSE,TRUE,nina.mueller0005@email.com
CUST00006,Elena,Thomas,USA,USD,22,F,16-12-2020,FALSE,TRUE,elena.thomas0006@email.com
CUST00007,Nina,Wilson,USA,USD,20,F,17-02-2020,FALSE,TRUE,nina.wilson0007@email.com
CUST00008,Michael,Jackson,Spain,EUR,39,F,22-05-2021,FALSE,TRUE,michael.jackson0008@email.com
CUST00009,Emma,Allen,France,EUR,45,M,12-08-2020,TRUE,TRUE,emma.allen0009@email.com
CUST00010,Emma,Lee,Canada,CAD,39,M,08-03-2020,FALSE,TRUE,emma.lee0010@email.com
CUST00011,Sara,Brown,USA,USD,39,F,23-11-2021,TRUE,TRUE,sara.brown0011@email.com
CUST00012,Sophie,Dubois,Australia,AUD,51,Other,09-08-2021,FALSE,FALSE,sophie.dubois0012@email.com
CUST00013,William,Thomas,Spain,EUR,46,M,01-01-2021,FALSE,TRUE,william.thomas0013@email.com
CUST00014,Michael,Walker,USA,USD,60,M,02-05-2020,FALSE,TRUE,michael.walker0014@email.com
CUST00015,Sophie,Smith,USA,USD,59,M,29-04-2021,FALSE,TRUE,sophie.smith0015@email.com
CUST00016,Luca,Walker,USA,USD,72,M,21-12-2021,FALSE,FALSE,luca.walker0016@email.com
CUST00017,Julia,Johnson,UK,GBP,30,M,15-07-2020,FALSE,FALSE,julia.johnson0017@email.com
CUST00018,Maria,Rossi,Germany,EUR,24,F,10-08-2020,FALSE,TRUE,maria.rossi0018@email.com
CUST00019,Emma,Thomas,UK,GBP,27,M,02-05-2021,FALSE,TRUE,emma.thomas0019@email.com
CUST00020,Anna,Anderson,USA,USD,45,M,15-07-2021,TRUE,TRUE,anna.anderson0020@email.com
CUST00021,Claire,Anderson,France,EUR,21,F,01-12-2021,FALSE,TRUE,claire.anderson0021@email.com
